# B2  M_xy  beta  p  rho  v2
  1.971526e-02  -8.456050e-06   2.543096e+03   9.974598e-01   9.973038e-01   1.312514e-01
  1.985854e-02  -5.577435e-06   2.518418e+03   9.949592e-01   9.966421e-01   1.317360e-01
  2.016956e-02  -7.284059e-06   2.478291e+03   9.944408e-01   9.968245e-01   1.330643e-01
  2.001989e-02  -8.730604e-06   2.493047e+03   9.929386e-01   9.960770e-01   1.330723e-01
  2.027320e-02  -9.403173e-06   2.461373e+03   9.927272e-01   9.956065e-01   1.336737e-01
  2.029346e-02  -3.899619e-06   2.456674e+03   9.918224e-01   9.942351e-01   1.338325e-01
  1.912338e-02   2.146610e-06   2.612500e+03   9.939191e-01   9.939261e-01   1.314103e-01
  1.741267e-02  -2.044079e-05   2.871686e+03   9.947921e-01   9.936993e-01   1.314563e-01
  2.000122e-02  -4.163069e-08   2.492944e+03   9.919718e-01   9.940616e-01   1.332414e-01
  2.005483e-02   3.057469e-07   2.482203e+03   9.903451e-01   9.938974e-01   1.332874e-01
  2.040800e-02   4.545923e-06   2.439588e+03   9.904832e-01   9.946953e-01   1.345131e-01
  2.027829e-02   4.261980e-06   2.456805e+03   9.911337e-01   9.949383e-01   1.341903e-01
  2.060918e-02   5.069313e-06   2.419175e+03   9.918779e-01   9.953471e-01   1.348976e-01
  2.053177e-02   2.203353e-06   2.433485e+03   9.939974e-01   9.958457e-01   1.350427e-01
  2.040639e-02   1.423074e-05   2.458060e+03   9.979040e-01   9.970492e-01   1.330353e-01
  1.944970e-02   1.186931e-05   2.599909e+03   1.006007e+00   1.002399e+00   1.319127e-01
  2.023632e-02   3.644679e-06   2.473037e+03   9.956166e-01   9.963215e-01   1.182584e-01
  2.027014e-02   4.786234e-06   2.465969e+03   9.944306e-01   9.963812e-01   1.180041e-01
  2.019712e-02  -4.434715e-06   2.461968e+03   9.892409e-01   9.937266e-01   1.144772e-01
  2.021110e-02   1.264193e-07   2.457102e+03   9.879691e-01   9.928760e-01   1.141211e-01
  2.007974e-02  -8.709746e-06   2.478502e+03   9.900963e-01   9.937093e-01   1.141656e-01
  2.002569e-02  -1.056028e-05   2.489978e+03   9.920033e-01   9.939666e-01   1.148289e-01
  2.007391e-02  -2.856311e-05   2.494615e+03   9.962436e-01   9.954167e-01   1.130979e-01
  1.903433e-02  -1.289953e-05   2.619139e+03   9.918051e-01   9.939720e-01   1.249400e-01
  2.029973e-02  -2.074750e-06   2.448234e+03   9.887201e-01   9.921485e-01   1.157166e-01
  2.037334e-02   1.943963e-06   2.439143e+03   9.886205e-01   9.928866e-01   1.159459e-01
  2.027471e-02  -1.708769e-06   2.439045e+03   9.837952e-01   9.903583e-01   1.128856e-01
  2.024775e-02   4.122732e-06   2.436638e+03   9.815172e-01   9.890567e-01   1.112352e-01
  2.011325e-02   3.600503e-07   2.451657e+03   9.810068e-01   9.883967e-01   1.093230e-01
  2.000769e-02  -1.261053e-06   2.473688e+03   9.846277e-01   9.895485e-01   1.100552e-01
  1.905721e-02  -1.976588e-06   2.612831e+03   9.906054e-01   9.930410e-01   1.165270e-01
  1.937838e-02   4.013433e-05   2.560109e+03   9.869745e-01   9.912202e-01   1.139561e-01
  1.998915e-02   7.197249e-06   2.482361e+03   9.871642e-01   9.911460e-01   1.104210e-01
  2.006556e-02   5.651287e-06   2.472079e+03   9.868337e-01   9.916165e-01   1.111341e-01
  2.014038e-02   1.063271e-06   2.471150e+03   9.901406e-01   9.941987e-01   1.143984e-01
  2.015356e-02  -4.539214e-06   2.472510e+03   9.913340e-01   9.947580e-01   1.152553e-01
  2.003018e-02  -9.321251e-06   2.493480e+03   9.936211e-01   9.956654e-01   1.156447e-01
  1.992721e-02  -7.909910e-06   2.505742e+03   9.933747e-01   9.948015e-01   1.143732e-01
  2.023393e-02  -2.416234e-05   2.485021e+03   1.000324e+00   9.978659e-01   1.150051e-01
